# Battery Dataset with Detailed Information
# This dataset contains battery parameters and their relationships to battery health
# Format: voltage,current,temperature,cycles,age_days,charge_time,discharge_time,health,notes

# New batteries with high health
3.9,1.3,24.5,10,30,40,100,98,"New battery with optimal parameters"
3.9,1.3,24.8,15,45,41,105,97,"New battery with slightly higher temperature"
3.9,1.2,25.0,20,60,42,110,96,"New battery with more cycles"
3.8,1.2,25.2,25,75,43,115,95,"New battery with lower voltage"
3.8,1.2,25.5,30,90,44,120,94,"New battery with higher temperature"

# Batteries with moderate usage (6 months)
3.8,1.2,25.8,60,180,45,125,92,"Moderate usage, good health"
3.7,1.1,26.0,70,210,46,130,90,"Moderate usage, slightly degraded"
3.7,1.1,26.3,80,240,47,135,88,"Moderate usage, more cycles"
3.6,1.0,26.5,90,270,48,140,86,"Moderate usage, lower voltage"
3.6,1.0,26.8,100,300,49,145,84,"Moderate usage, higher temperature"

# Batteries with heavy usage (1 year)
3.6,1.0,27.0,120,360,50,150,82,"Heavy usage, good maintenance"
3.5,0.9,27.3,130,390,51,155,80,"Heavy usage, slightly degraded"
3.5,0.9,27.6,140,420,52,160,78,"Heavy usage, more cycles"
3.4,0.8,27.9,150,450,53,165,76,"Heavy usage, lower voltage"
3.4,0.8,28.2,160,480,54,170,74,"Heavy usage, higher temperature"

# Batteries with very heavy usage (1.5 years)
3.4,0.8,28.5,180,540,55,175,72,"Very heavy usage, good maintenance"
3.3,0.7,28.8,190,570,56,180,70,"Very heavy usage, slightly degraded"
3.3,0.7,29.1,200,600,57,185,68,"Very heavy usage, more cycles"
3.2,0.6,29.4,210,630,58,190,66,"Very heavy usage, lower voltage"
3.2,0.6,29.7,220,660,59,195,64,"Very heavy usage, higher temperature"

# Batteries with extreme usage (2 years)
3.2,0.6,30.0,240,720,60,200,62,"Extreme usage, good maintenance"
3.1,0.5,30.3,250,750,61,205,60,"Extreme usage, slightly degraded"
3.1,0.5,30.6,260,780,62,210,58,"Extreme usage, more cycles"
3.0,0.4,30.9,270,810,63,215,56,"Extreme usage, lower voltage"
3.0,0.4,31.2,280,840,64,220,54,"Extreme usage, higher temperature"

# Batteries with poor maintenance patterns
3.7,1.1,32.0,100,300,70,180,75,"Poor maintenance: overcharging"
3.6,1.0,33.5,120,360,75,190,70,"Poor maintenance: high temperature"
3.5,0.9,35.0,140,420,80,200,65,"Poor maintenance: rapid charging"
3.4,0.8,36.5,160,480,85,210,60,"Poor maintenance: deep discharging"
3.3,0.7,38.0,180,540,90,220,55,"Poor maintenance: multiple issues"

# Batteries with optimal maintenance patterns
3.8,1.2,26.0,150,450,50,160,85,"Optimal maintenance: moderate charging"
3.7,1.1,27.5,180,540,55,170,80,"Optimal maintenance: temperature control"
3.6,1.0,29.0,210,630,60,180,75,"Optimal maintenance: cycle management"
3.5,0.9,30.5,240,720,65,190,70,"Optimal maintenance: voltage monitoring"
3.4,0.8,32.0,270,810,70,200,65,"Optimal maintenance: aging management"

# Batteries with varying charge/discharge patterns
3.8,1.2,25.5,100,300,45,150,88,"Fast charge, slow discharge"
3.7,1.1,26.8,120,360,50,160,84,"Moderate charge, moderate discharge"
3.6,1.0,28.1,140,420,55,170,80,"Slow charge, fast discharge"
3.5,0.9,29.4,160,480,60,180,76,"Very slow charge, very fast discharge"
3.4,0.8,30.7,180,540,65,190,72,"Extremely slow charge, extremely fast discharge"

# Batteries with temperature variations
3.8,1.2,22.0,100,300,45,150,90,"Low temperature operation"
3.7,1.1,25.0,120,360,50,160,86,"Optimal temperature operation"
3.6,1.0,28.0,140,420,55,170,82,"High temperature operation"
3.5,0.9,31.0,160,480,60,180,78,"Very high temperature operation"
3.4,0.8,34.0,180,540,65,190,74,"Extreme temperature operation"

# Batteries with voltage variations
3.9,1.3,25.0,100,300,45,150,92,"High voltage operation"
3.7,1.1,25.0,120,360,50,160,86,"Optimal voltage operation"
3.5,0.9,25.0,140,420,55,170,80,"Low voltage operation"
3.3,0.7,25.0,160,480,60,180,74,"Very low voltage operation"
3.1,0.5,25.0,180,540,65,190,68,"Extreme low voltage operation" 
